relative_path,sha256,role,phase2_action,release_status
scripts/python/gate0_d9_wear_audit.py,4bbdea97a9c0d2e02e5d4129590cacdafb0a47b0b999b34f4edd39e2d62e0135,wear_rule_audit,extract_contracts,provenance_candidate
scripts/python/gate0_d9_step_cohort_reprojection.py,469eae50d7e624e344479bada15269bddb5cbc36b7b5fea10b96b92aab8acda0,step_cohort_reprojection,extract_cohort_logic,provenance_candidate
scripts/python/build_mvp_exposure_qc.py,e42b9e76b8613da2821da769ab6af5799f28cd11257a77ed12c351e792a7214d,seven_algorithm_exposure_qc,refactor_into_data_io_and_cohort,provenance_candidate
scripts/python/build_mvp_crosswalk_stability.py,13f5dddc5b83e3e83bcb821cdac6e73c2391bf120fbe6fd531b8c4804df5b8cd,early_crosswalk_prototype,use_for_lineage_only,provenance_only
scripts/python/build_stage2_all7_crosswalk_matrix.py,87e8eff54167d1281ea20ee202fe1fd6531d867ecc3e7ee9f843c6500c74266e,core_pairwise_oof_crosswalk,refactor_into_crosswalk,primary_candidate
scripts/python/build_stage2c_all7_subgroup_stability.py,6dea626f364b1bbb67604acdd5c1321745cabe79f88c8e7fdbdbbf1967a21a59,subgroup_curves_and_full_sample_grid,refactor_into_subgroup_and_crosswalk,primary_candidate
scripts/python/build_stage3_crosswalk_deliverable_assembly.py,c1163bb72ded8810884a615bd0370a1d2be6efcf781cd094b8e1f869bbba8e9e,lookup_and_grid_assembly,replace_with_explicit_release_writers,primary_candidate
scripts/python/build_stage4_crosswalk_uncertainty_ci.py,93157373d5ad2191af0b8a48622177b216f1d638b98fc83505b90d6519a19cd6,design_bootstrap_for_E_and_H,refactor_into_bootstrap,primary_candidate
scripts/python/build_stage6_common_support_tier.py,76563bd5545e747397f32b41708fc518feb3985f94bac3d48bf6132874ba7c57,common_support_analysis,remove_tier_logic_and_refactor,primary_candidate
scripts/python/build_stage6_cycle_threshold.py,9027b7abd70eb998664f684afafbded29240d470f6a4b93804f3ec7f4bd4d224,cross_cycle_and_fixed_threshold_checks,refactor_into_boundary_checks,primary_candidate
scripts/python/build_table1_baseline_characteristics.py,cc798e1969f9d7b5ba380cdda7641aba31b357096f1f18a862a85cc688016a7e,weighted_baseline_table,refactor_into_make_tables,primary_candidate
scripts/python/gate0_audit.py,6b9f61145371d62a9c1fda1fe7bf77b106782660c39a0c4cc69b068fd7ced219,raw_input_and_field_audit,extract_input_checks,provenance_candidate
scripts/python/download_nhanes_gate_a_mec.py,cc58cac7aab7c293926b4cff77d6e4efc28efc5c079edeb62dc1f7cd5e3128e6,partial_nhanes_downloader,replace_with_minimal_official_input_helper,provenance_candidate
scripts/R/stage2b_round1_all7_thresholds_survey.R,83c4a501cc291ffb535e05333b09e6b99057d01516932690fada9d1dd86d4b1b,sample_marginal_alignment_and_removed_outcomes,extract_S1_only,primary_candidate
scripts/python/build_paper_figures.py,68511747a883cb0b311567f0b6dad605c3328dfd978e2e24bfffb8298bc8f5ed,historical_tier_figures,do_not_copy_use_style_lineage_only,exclude_stale
写作修改新增代码与配套产物_20260811_20260816/有效日佩戴时长敏感性分析/run_wear_threshold_sensitivity.py,9be56a58c6eddca786686eb9010162e224e4800fe3a2fd54d417254cc16967a1,wear_threshold_sensitivity,remove_private_path_and_manuscript_hash_locks,primary_candidate
写作修改新增代码与配套产物_20260811_20260816/build_continuous_evidence_revision.py,a4e24e6e67c5b7017ce605f450b2a80a691d39983436dcf0dbc01f783cd68ec2,historical_continuous_figure_and_Word_revision,use_figure_lineage_only,provenance_only
写作修改新增代码与配套产物_20260811_20260816/build_crosswalk_only_revision.py,36c93f0ff26446c933028cbf1c8892a6207551d8fd79208d402b67c17fcdeb1c,historical_Word_scope_revision,do_not_copy,exclude_writing_only
