metric_family,source_algorithm,target_algorithm,method,group_type,group_level,metric,point_estimate,ci_low,ci_high,bootstrap_success,bootstrap_requested,n_point,target_iqr_point,existing_stage3_point_estimate,abs_diff_vs_stage3,ci_method,note
fullsample_oof_residual,acti,adept,isotonic,overall,all,mae,771.933615618,753.7207819498981,801.3432390089324,300,300,8646,1919.4027944454592,771.933615618,0.0,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,5-fold grouped OOF isotonic residual on target scale.
fullsample_oof_residual,acti,adept,isotonic,overall,all,rmse,1099.335479049252,1062.989289780464,1154.2760543898055,300,300,8646,1919.4027944454592,1099.335479049252,0.0,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,5-fold grouped OOF isotonic residual on target scale.
fullsample_oof_residual,acti,adept,isotonic,overall,all,abs_error_p95,2189.7196320314147,2115.1347585798026,2273.6976454882483,300,300,8646,1919.4027944454592,2189.7196320314147,0.0,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,5-fold grouped OOF isotonic residual on target scale.
fullsample_oof_residual,acti,adept,isotonic,overall,all,mae_per_target_iqr,0.402173852123114,0.3967035421518218,0.4127455326758781,300,300,8646,1919.4027944454592,0.402173852123114,0.0,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,MAE normalized by target algorithm IQR.
subgroup_curve_divergence,acti,adept,isotonic,age_group,20-39,p95_abs_subgroup_minus_full_predicted_target,239.8099973158828,239.18826919057753,345.59762687243074,300,300,2757,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve compared with full-sample curve.
subgroup_curve_divergence,acti,adept,isotonic,age_group,20-39,p95_abs_subgroup_minus_full_predicted_target_over_target_iqr,0.1249399021455353,0.1247129151518018,0.1809004406260035,300,300,2757,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve divergence normalized by target IQR.
subgroup_curve_divergence,acti,adept,isotonic,age_group,20-39,max_abs_subgroup_minus_full_predicted_target,405.26900967273014,294.1448079122718,525.3543386275568,300,300,2757,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve compared with full-sample curve.
subgroup_curve_divergence,acti,adept,isotonic,age_group,20-39,max_abs_subgroup_minus_full_predicted_target_over_target_iqr,0.2111432841743974,0.1529406181578407,0.2731542063087624,300,300,2757,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve divergence normalized by target IQR.
subgroup_curve_divergence,acti,adept,isotonic,age_group,40-59,p95_abs_subgroup_minus_full_predicted_target,237.24767744554924,189.7536201719591,301.8839243689839,300,300,2949,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve compared with full-sample curve.
subgroup_curve_divergence,acti,adept,isotonic,age_group,40-59,p95_abs_subgroup_minus_full_predicted_target_over_target_iqr,0.1236049453153438,0.0987569171636357,0.1593191929497904,300,300,2949,1919.4027944454592,,,PSU-in-stratum bootstrap; statistic recomputed with grouped 5-fold OOF isotonic crosswalk for residual metrics.,Subgroup-specific isotonic curve divergence normalized by target IQR.
