exposure,source_algorithm,target_algorithm,method,group_type,grid_definition,grid_role,curve_estimator,minimum_level_n,n_groups_compared,group_levels,group_ns,group_source_p05,group_source_p95,original_source_p05,original_source_p95,common_support_low,common_support_high,common_support_width,grid_n,grid_min,grid_max,pooled_observations_within_common_support,target_iqr,p95_between_subgroup_spread_predicted_target,p95_between_subgroup_spread_predicted_target_over_target_iqr,max_between_subgroup_spread_predicted_target,max_between_subgroup_spread_predicted_target_over_target_iqr,support_rule
daily_steps,acti,adept,isotonic,age_group,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,3,20-39|40-59|60+,2757|2949|2940,7232.21904762|6817.45714286|3832.7,19994.3333333|19913.5142857|16895.5416667,5266.464285714286,19321.357142857145,7232.219047619048,16895.54166666666,9663.322619047613,101,5266.464285714286,19321.357142857145,6493,1919.4027944454594,473.3829961683273,0.24663035686842052,543.9520503726603,0.283396508511292,pooled source P05-P95; may extend beyond a subgroup's own support
daily_steps,acti,adept,isotonic,age_group,common_support_linear,common_support_linear,full-resample subgroup isotonic; same fitted subgroup curve as original-grid H,200,3,20-39|40-59|60+,2757|2949|2940,7232.21904762|6817.45714286|3832.7,19994.3333333|19913.5142857|16895.5416667,5266.464285714286,19321.357142857145,7232.219047619048,16895.54166666666,9663.322619047613,101,7232.219047619048,16895.54166666666,6493,1919.4027944454594,528.1961377173898,0.2751877507138842,543.9520503726603,0.283396508511292,intersection of eligible subgroup source P05-P95; 101-point equally spaced grid
daily_steps,acti,adept,isotonic,sex,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,2,male|female,4161|4485,5338.42857143|5260.77142857,20114.7142857|18352.7428571,5266.464285714286,19321.357142857145,5338.428571428572,18352.74285714286,13014.314285714288,101,5266.464285714286,19321.357142857145,7589,1919.4027944454594,627.3309929838033,0.326836552910744,714.8470285911394,0.3724320036731363,pooled source P05-P95; may extend beyond a subgroup's own support
daily_steps,acti,adept,isotonic,sex,common_support_linear,common_support_linear,full-resample subgroup isotonic; same fitted subgroup curve as original-grid H,200,2,male|female,4161|4485,5338.42857143|5260.77142857,20114.7142857|18352.7428571,5266.464285714286,19321.357142857145,5338.428571428572,18352.74285714286,13014.314285714288,101,5338.428571428572,18352.74285714286,7589,1919.4027944454594,633.9186690957445,0.3302687017702774,808.9896677580973,0.4214798843156968,intersection of eligible subgroup source P05-P95; 101-point equally spaced grid
daily_steps,acti,adept,isotonic,bmi_group,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,3,<25|25-<30|>=30,2572|2741|3246,5854.95|5615|5014.8,19920.9821429|19757.2857143|18420.7857143,5266.464285714286,19321.357142857145,5854.95,18420.785714285714,12565.835714285713,101,5266.464285714286,19321.357142857145,7404,1919.4027944454594,577.2258099531346,0.3007319837313786,691.1359074570855,0.36007861896270904,pooled source P05-P95; may extend beyond a subgroup's own support
daily_steps,acti,adept,isotonic,bmi_group,common_support_linear,common_support_linear,full-resample subgroup isotonic; same fitted subgroup curve as original-grid H,200,3,<25|25-<30|>=30,2572|2741|3246,5854.95|5615|5014.8,19920.9821429|19757.2857143|18420.7857143,5266.464285714286,19321.357142857145,5854.95,18420.785714285714,12565.835714285713,101,5854.95,18420.785714285714,7404,1919.4027944454594,577.2258099531346,0.3007319837313786,691.1359074570855,0.36007861896270904,intersection of eligible subgroup source P05-P95; 101-point equally spaced grid
daily_steps,acti,oak,isotonic,age_group,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,3,20-39|40-59|60+,2757|2949|2940,7232.21904762|6817.45714286|3832.7,19994.3333333|19913.5142857|16895.5416667,5266.464285714286,19321.357142857145,7232.219047619048,16895.54166666666,9663.322619047613,101,5266.464285714286,19321.357142857145,6493,6887.578571428576,1668.4306058673392,0.24223761494183352,2028.7322504915683,0.2945494166712326,pooled source P05-P95; may extend beyond a subgroup's own support
daily_steps,acti,oak,isotonic,age_group,common_support_linear,common_support_linear,full-resample subgroup isotonic; same fitted subgroup curve as original-grid H,200,3,20-39|40-59|60+,2757|2949|2940,7232.21904762|6817.45714286|3832.7,19994.3333333|19913.5142857|16895.5416667,5266.464285714286,19321.357142857145,7232.219047619048,16895.54166666666,9663.322619047613,101,7232.219047619048,16895.54166666666,6493,6887.578571428576,1641.0100691802154,0.2382564572094381,1854.9971536796547,0.26932500797517633,intersection of eligible subgroup source P05-P95; 101-point equally spaced grid
daily_steps,acti,oak,isotonic,sex,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,2,male|female,4161|4485,5338.42857143|5260.77142857,20114.7142857|18352.7428571,5266.464285714286,19321.357142857145,5338.428571428572,18352.74285714286,13014.314285714288,101,5266.464285714286,19321.357142857145,7589,6887.578571428576,578.676241622572,0.0840173706363319,1044.1002673551302,0.15159177590892728,pooled source P05-P95; may extend beyond a subgroup's own support
daily_steps,acti,oak,isotonic,sex,common_support_linear,common_support_linear,full-resample subgroup isotonic; same fitted subgroup curve as original-grid H,200,2,male|female,4161|4485,5338.42857143|5260.77142857,20114.7142857|18352.7428571,5266.464285714286,19321.357142857145,5338.428571428572,18352.74285714286,13014.314285714288,101,5338.428571428572,18352.74285714286,7589,6887.578571428576,479.11153113553155,0.06956167921234435,1044.1002673551302,0.15159177590892728,intersection of eligible subgroup source P05-P95; 101-point equally spaced grid
daily_steps,acti,oak,isotonic,bmi_group,original_grid_stage3,complete_sample_reference,full-resample subgroup isotonic; complete-sample reference,200,3,<25|25-<30|>=30,2572|2741|3246,5854.95|5615|5014.8,19920.9821429|19757.2857143|18420.7857143,5266.464285714286,19321.357142857145,5854.95,18420.785714285714,12565.835714285713,101,5266.464285714286,19321.357142857145,7404,6887.578571428576,871.3318457003679,0.12650771772170755,1510.8951046176044,0.21936520780832625,pooled source P05-P95; may extend beyond a subgroup's own support
