source_algorithm,target_algorithm,support_definition,point_E,E_ci_low,E_ci_high,point_H,H_driver,H_ci_low,H_ci_high,E_bootstrap_success,H_bootstrap_success,bootstrap_requested,ci_method
acti,adept,original_grid_stage3,0.402173852123114,0.3961055887079314,0.4120946603883213,0.326836552910744,sex,0.31824107280163144,0.46498295986899707,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,adept,common_support_linear,0.402173852123114,0.3961055887079314,0.4120946603883213,0.3302687017702774,sex,0.31405360121589043,0.42164874803142527,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,oak,original_grid_stage3,0.16218034302040268,0.15889655512699621,0.1666843108653237,0.24223761494183352,age_group,0.23860725924817155,0.30286451557686117,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,oak,common_support_linear,0.16218034302040268,0.15889655512699621,0.1666843108653237,0.2382564572094381,age_group,0.23294575973954743,0.2777321785320742,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,scrf,original_grid_stage3,0.20637059185796416,0.20184260749004226,0.21121879912302888,0.3104461498615042,age_group,0.2543567319742448,0.41863226317283325,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,scrf,common_support_linear,0.20637059185796416,0.20184260749004226,0.21121879912302888,0.2461704464688786,age_group,0.223106666283304,0.29317946220934643,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,scssl,original_grid_stage3,0.31026118176441336,0.3053181310643173,0.31792767323450444,0.25845816216411144,sex,0.24580545583549357,0.36614408928932934,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,scssl,common_support_linear,0.31026118176441336,0.3053181310643173,0.31792767323450444,0.282278957192943,sex,0.24361087943849238,0.37080675913441463,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,vs,original_grid_stage3,0.1987904000917201,0.1951996625065463,0.20421430279174854,0.19429577360076491,age_group,0.1896738503305832,0.24443407776849704,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,vs,common_support_linear,0.1987904000917201,0.1951996625065463,0.20421430279174854,0.19429577360076491,age_group,0.1840350625107116,0.24516912733848126,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,vsrev,original_grid_stage3,0.21622593791146455,0.21057517415127916,0.22175980045137858,0.35846785009848303,age_group,0.3115126868978379,0.4449536707793306,300,300,300,percentile_PSU_within_stratum_bootstrap
acti,vsrev,common_support_linear,0.21622593791146455,0.21057517415127916,0.22175980045137858,0.33481253392162735,age_group,0.31632095006917466,0.3860958695468773,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,acti,original_grid_stage3,0.37341644486837194,0.3656531518615929,0.3820031004661412,0.28116185544986855,age_group,0.24928207720243778,0.42749730137869163,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,acti,common_support_linear,0.37341644486837194,0.3656531518615929,0.3820031004661412,0.28116185544986855,age_group,0.23749310447353605,0.36866896809304783,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,oak,original_grid_stage3,0.32751484558280614,0.32168118207710433,0.3335514997254389,0.4287027819880495,age_group,0.3471170279495023,0.586234045060752,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,oak,common_support_linear,0.32751484558280614,0.32168118207710433,0.3335514997254389,0.3661914629164892,age_group,0.321764407398127,0.48157173676958265,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,scrf,original_grid_stage3,0.35199261120350084,0.3426770623629769,0.3601161755395782,0.43750865779044545,age_group,0.3360318794935031,0.610178610478744,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,scrf,common_support_linear,0.35199261120350084,0.3426770623629769,0.3601161755395782,0.3576706238383281,age_group,0.29915286680300907,0.4893721278406239,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,scssl,original_grid_stage3,0.31530458721483384,0.30879207083432764,0.323747463912413,0.2802200038319516,age_group,0.25644100668448705,0.4185537442987724,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,scssl,common_support_linear,0.31530458721483384,0.30879207083432764,0.323747463912413,0.22802123026103308,age_group,0.20376318864506918,0.32496761904779636,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,vs,original_grid_stage3,0.3331956212758588,0.32737848059942865,0.34042327564349206,0.40737820952392473,age_group,0.2661352940962443,0.527692299084645,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,vs,common_support_linear,0.3331956212758588,0.32737848059942865,0.34042327564349206,0.29527753949702384,age_group,0.2409204473420475,0.41063025335059006,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,vsrev,original_grid_stage3,0.351861053676361,0.3446381531841983,0.3598701395509348,0.5233363639163713,age_group,0.4361993953494015,0.6851112745768478,300,300,300,percentile_PSU_within_stratum_bootstrap
adept,vsrev,common_support_linear,0.351861053676361,0.3446381531841983,0.3598701395509348,0.49079861914083606,age_group,0.4013052867792754,0.5905551448900259,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,acti,original_grid_stage3,0.1634915998897104,0.1602307889707973,0.16817602958370076,0.21828043648797002,age_group,0.20789600390198054,0.2723047765780383,300,300,300,percentile_PSU_within_stratum_bootstrap
