resource_version,mapping_id,source_algorithm,source_algorithm_label,target_algorithm,target_algorithm_label,direction_reversible,input_unit,output_unit,analysis_level,fit_method,n_fit,training_source_min_steps,training_source_max_steps,released_source_p05_steps,released_source_p95_steps,released_support_rule,out_of_range_policy,exact_knot_nodes,exact_knots_within_released_support,conversion_interpolation_rule,rounding_rule,oof_mae_target_steps,target_iqr,E_oof_mae_per_target_iqr,H_full_range_max_subgroup_spread_per_target_iqr,H_driver,exact_knots_file,strict_converter_file,table_s2_role,use_boundary,exact_knots_sha256
1.1.1,acti_to_adept,acti,ActiLife,adept,ADEPT,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,161,103,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,771.933615618,1919.4027944454592,0.402173852123114,0.326836552910744,sex,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,acti_to_oak,acti,ActiLife,oak,Oak,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,355,273,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1117.0298552942616,6887.578571428576,0.1621803430204026,0.2422376149418335,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,acti_to_scrf,acti,ActiLife,scrf,Stepcount-RF,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,297,217,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1544.1642683880766,7482.482142857143,0.2063705918579641,0.3104461498615042,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,acti_to_scssl,acti,ActiLife,scssl,Stepcount-SSL,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,228,167,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1803.5482495965348,5813.0,0.3102611817644133,0.2584581621641114,sex,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,acti_to_vs,acti,ActiLife,vs,Verisense,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,285,210,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1105.2462258813794,5559.857142857143,0.1987904000917201,0.1942957736007649,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,acti_to_vsrev,acti,ActiLife,vsrev,Verisense-revised,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,828.2857142857143,33835.25,5266.464285714286,19321.357142857145,pooled_source_P05_to_P95,reject_no_formal_conversion,311,235,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1362.6056654110346,6301.767857142858,0.2162259379114645,0.358467850098483,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,adept_to_acti,adept,ADEPT,acti,ActiLife,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,210,140,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,2047.1005133488743,5482.084523809524,0.3734164448683719,0.2811618554498685,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,adept_to_oak,adept,ADEPT,oak,Oak,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,234,154,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,2255.7842322608744,6887.578571428576,0.3275148455828061,0.4287027819880495,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,adept_to_scrf,adept,ADEPT,scrf,Stepcount-RF,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,227,155,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,2633.778427747852,7482.482142857143,0.3519926112035008,0.4375086577904454,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
1.1.1,adept_to_scssl,adept,ADEPT,scssl,Stepcount-SSL,False,steps/day,steps/day,participant_multi_day_mean_daily_steps,nonnegative_nondecreasing_isotonic_regression,8646,5.56540014606673,20240.87818898735,388.4465352624406,5454.949972321798,pooled_source_P05_to_P95,reject_no_formal_conversion,241,176,linear_between_exact_isotonic_thresholds,round_after_interpolation_only_when_whole_steps_are_required,1832.865565479829,5813.0,0.3153045872148338,0.2802200038319516,age_group,crosswalk_exact_knots.csv,analysis/crosswalk_converter.py,direction_index_and_use_boundaries,"Direction-specific re-expression of participant multi-day mean daily steps only; not true-step accuracy, health-threshold equivalence, or sample-marginal prevalence alignment.",775a590802a91fa8ed1860b58621b74566e4a1f4057fc26a94033cc18c07248a
