scope,method,source_algorithm,target_algorithm,train_cycle,test_cycle,n_train,n_test,n_covered,coverage_pct,train_source_p05,train_source_p95,complete_test_cycle_target_iqr,transport_all_test_E,transport_release_domain_mae,transport_release_domain_abs_error_p95,transport_release_domain_E,transport_delta_E_domain_minus_all_test,within_test_oof_all_test_E,within_test_oof_release_domain_mae,within_test_oof_release_domain_abs_error_p95,within_test_oof_release_domain_E,within_test_oof_delta_E_domain_minus_all_test,transport_penalty_E_on_same_covered_test,range_rule,fit_rule,comparison_rule,interpretation
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,adept,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,1849.3392494134814,0.4157044362344749,754.343698179897,1971.4690549613713,0.4078990365986865,-0.0078053996357884126,0.4106893798804505,743.2474094768269,1985.77379415178,0.4018988996813581,-0.008790480199092399,0.006000136917328369,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,oak,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,6872.7362500000045,0.1638935255255645,1117.0249900613608,2844.5370164793853,0.16252987884721462,-0.0013636466783498724,0.16451569722676826,1122.2389161344627,2877.09773494709,0.163288517893359,-0.0012271793334092673,-0.0007586390461443715,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,scrf,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,7497.928571428572,0.20897593813658633,1512.42216742955,3921.836327947842,0.20171199992391897,-0.0072639382126673535,0.2065409742803122,1496.9026619164567,3971.002631222942,0.1996421608523344,-0.006898813427977796,0.0020698390715845616,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,scssl,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,5772.830357142857,0.3164383449189752,1774.5687563796287,4615.3624619047605,0.3074001220534592,-0.009038222865516032,0.3171396779608228,1775.8831222875426,4643.673806410381,0.3076278034205875,-0.009511874540235332,-0.00022768136712830733,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,vs,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,5573.696428571429,0.1992625021060403,1103.6160948595505,2900.9164860163237,0.19800434218165944,-0.0012581599243808583,0.1991439529447559,1099.8474296581173,2890.7583365021756,0.19732819032270377,-0.0018157626220521306,0.0006761518589556703,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,acti,vsrev,2011-2012_G,2013-2014_H,4284,4362,3948,90.5089408528198,5168.4571428571435,19321.135714285716,6282.214285714286,0.21575480556380272,1341.3724571165162,3453.93688462372,0.2135190549241194,-0.002235750639683315,0.21619041908286302,1348.074921125774,3391.4849613481742,0.21458595008312395,-0.001604468999739067,-0.001066895159004544,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,adept,acti,2011-2012_G,2013-2014_H,4284,4362,3976,91.1508482347547,386.15126562906397,5587.881138403475,5495.6785714285725,0.3745920763653639,2070.277066131341,5233.576455938697,0.37670999845123465,0.0021179220858707493,0.3759480793307962,2071.2703154182423,5239.77356319953,0.37689073123500133,0.0009426519042051162,-0.00018073278376667945,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,adept,oak,2011-2012_G,2013-2014_H,4284,4362,3976,91.1508482347547,386.15126562906397,5587.881138403475,6872.7362500000045,0.3284816402782551,2288.5580523017065,5902.679159083107,0.332990816038038,0.00450917575978288,0.33044884277839764,2296.2588527870516,5890.266662764552,0.3341113014175468,0.0036624586391491576,-0.0011204853795088177,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,adept,scrf,2011-2012_G,2013-2014_H,4284,4362,3976,91.1508482347547,386.15126562906397,5587.881138403475,7497.928571428572,0.3497562665912568,2628.357836962439,7053.532881168336,0.3505445286552871,0.0007882620640303206,0.3557588094374532,2664.79830728898,7065.363223305516,0.3554046003376716,-0.00035420909978162163,-0.004860071682384448,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
cross_cycle_training_range_applied_to_test_cycle,isotonic,adept,scssl,2011-2012_G,2013-2014_H,4284,4362,3976,91.1508482347547,386.15126562906397,5587.881138403475,5772.830357142857,0.31131218937470806,1768.0426701402027,4662.89016817865,0.30626963911256505,-0.0050425502621430085,0.31525302480370043,1784.1197788140692,4693.703070384443,0.3090546003324931,-0.006198424471207331,-0.0027849612199280505,inclusive source P05-P95 derived from the complete training cycle only,transport isotonic fit used the complete training cycle without trimming,transported and within-test OOF predictions evaluated on identical covered test participants,release-domain sensitivity; not external validation or a validated range
