reference_algorithm,reference_threshold_steps,oak_percentile,algorithm,equivalent_threshold_steps,conversion_method,use_case
oak,7000.0,0.21050196622715706,acti,8522.071439586707,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,adept,1172.2636729062149,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,oak,7000.0,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,scrf,6270.101511296168,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,scssl,5111.470005397487,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,vs,5692.142879173413,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,7000.0,0.21050196622715706,vsrev,4596.796999438221,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,acti,9293.14520009253,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,adept,1416.022734281418,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,oak,8000.0,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,scrf,7374.356002775851,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,scssl,5897.583143319785,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,vs,6497.6751429232345,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,8000.0,0.273999537358316,vsrev,5475.825716268465,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,acti,10834.871121245167,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,adept,1929.9636831434684,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,oak,10000.0,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,scrf,9461.457965698424,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,scssl,7466.61623872311,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,vs,8087.953752354516,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
oak,10000.0,0.4215822345593338,vsrev,7255.819321899475,unweighted_empirical_quantile_linear_interpolation,sample_marginal_position_alignment_only
