exposure,source_algorithm,target_algorithm,method,method_role,scope_type,scope_level,n,mean_error_pred_minus_target,median_error_pred_minus_target,error_sd,error_p05,error_p95,mae,rmse,absolute_error_p50,absolute_error_p90,absolute_error_p95,target_iqr,mae_per_target_iqr,note
daily_steps,acti,adept,isotonic,headline,overall,all,8646,0.6698966361588756,133.77795919766731,1099.3988552491385,-1941.029018545793,1451.645919962593,771.933615618,1099.335479049252,564.0499502324913,1647.8805335154032,2189.7196320314147,1919.4027944454592,0.402173852123114,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,age_group,20-39,2757,-49.4628495376163,86.25274410728798,1105.9156589913648,-1960.174966746747,1457.8423797848486,792.6131397539888,1106.8208537240869,566.6368948162685,1688.3690257421945,2203.0477183131748,1919.4027944454592,0.4129477887849929,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,age_group,40-59,2949,-84.7484769721289,50.55721209787225,1193.8019641022934,-2139.179538648397,1460.5116875511192,827.5916694344464,1196.6044308281955,609.530572861169,1751.9857324567795,2283.342164239133,1919.4027944454592,0.4311714413615556,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,age_group,60+,2940,133.36199356538975,221.26377419832545,975.4913784528454,-1667.059136470576,1434.5977697285246,696.7128507378565,984.4009259089644,513.8191084058714,1509.0415591289277,2012.4529494139713,1919.4027944454592,0.362984180680609,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,sex,male,4161,-212.11241140830435,-30.983334353734335,1155.6378027830951,-2217.8894408032393,1275.4628200633329,787.1288519074163,1174.8061329848708,533.6140435689739,1748.7052508377374,2310.3144423154945,1919.4027944454592,0.4100905001208087,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,sex,female,4485,198.08063995232644,298.21088574002806,1005.1346277501063,-1593.0637609655707,1552.6551910517742,757.8360953949764,1024.3565291530513,590.5111605154214,1562.7419610515446,2013.173837721828,1919.4027944454592,0.3948291091312728,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,bmi_group,<25,2572,-104.37730538219088,56.712647593535166,1163.4113650140516,-2146.0897852608027,1395.9005786762675,810.8719543648567,1167.858883531837,567.3648123614867,1777.3260654698338,2294.9475662990676,1919.4027944454592,0.4224605469531622,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,bmi_group,25-<30,2741,-100.83740029560188,64.55012952156358,1170.2400948552702,-2181.093415547186,1428.933079410151,805.3626285946498,1174.3638446593447,581.9573802673344,1755.1279673255044,2302.208606924579,1919.4027944454592,0.4195902136462865,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,bmi_group,>=30,3246,162.45590363741272,248.92819171459587,964.1453835115788,-1518.435889560055,1496.4772007818362,718.7771413000416,977.5898246337214,551.0086003533587,1506.905288008852,1873.3924644965268,1919.4027944454592,0.3744795742613815,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,isotonic,headline,bmi_group,missing,87,267.97479037273206,176.4342826140167,781.3236057173394,-893.18170235422,1465.9089040180072,550.8713605626004,821.7421784971663,310.28224318299897,1372.5452869165972,1839.7764960965392,1919.4027944454592,0.2870014371953409,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,acti,adept,quantile,fullsample_robustness,overall,all,8646,0.9059514472340664,15.346099989072208,1217.9618429707164,-1947.910094406058,1798.6699942071414,832.6566367742814,1217.8917428986729,568.1286653563467,1868.0325228935535,2477.9270495372966,1919.4027944454592,0.4338102659764267,Full-sample source->target 5-fold OOF residual; aggregate row only.
