variable,variable_label,level,arm,arm_label,statistic,weighted_pct,weighted_mean,weighted_median,dispersion,dispersion_type,weighted_sd,weighted_iqr_low,weighted_iqr_high,unweighted_n,weighted_n,denominator_unweighted_n,denominator_weighted_n,weight_name,note
age_years,"Age, y",overall,overall,D9-valid adult all-7 cohort,weighted_mean_sd,,48.66694401039289,,SD=16.8,SD,16.84062317931568,,,8646,180911985.99171352,8646,180911985.99171352,WTMEC4YR,"Trait variability reported as weighted SD, not SE."
bmi,"Body mass index, kg/m2",overall,overall,D9-valid adult all-7 cohort,weighted_mean_sd,,29.1430826646606,,SD=6.9,SD,6.913261887467986,,,8559,179518503.9653895,8559,179518503.9653895,WTMEC4YR,"Trait variability reported as weighted SD, not SE."
pir,Family income-to-poverty ratio,overall,overall,D9-valid adult all-7 cohort,weighted_median_iqr,,,2.82,IQR=1.32-5.00,IQR,,1.32,5.0,8009,170652296.962246,8009,170652296.962246,WTMEC4YR,"Trait variability reported as weighted IQR, not SE."
oak_daily_steps,"Oak daily steps, steps/day",overall,overall,D9-valid adult all-7 cohort,weighted_median_iqr,,,11155.214285714284,IQR=8026-14499,IQR,,8025.55,14499.214285714292,8646,180911985.99171352,8646,180911985.99171352,WTMEC4YR,"Trait variability reported as weighted IQR, not SE."
sex,Sex,Male,overall,D9-valid adult all-7 cohort,weighted_pct,47.53166707494173,,,,,,,,4161,85990482.88024649,8646,180911985.99171352,WTMEC4YR,
sex,Sex,Female,overall,D9-valid adult all-7 cohort,weighted_pct,52.46833292505825,,,,,,,,4485,94921503.111467,8646,180911985.99171352,WTMEC4YR,
race_ethnicity,Race/ethnicity,Mexican American,overall,D9-valid adult all-7 cohort,weighted_pct,8.349047288573706,,,,,,,,1009,15104427.261146002,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
race_ethnicity,Race/ethnicity,Other Hispanic,overall,D9-valid adult all-7 cohort,weighted_pct,5.914174486930389,,,,,,,,819,10699450.519321,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
race_ethnicity,Race/ethnicity,Non-Hispanic White,overall,D9-valid adult all-7 cohort,weighted_pct,67.05140397336399,,,,,,,,3532,121304026.5635395,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
race_ethnicity,Race/ethnicity,Non-Hispanic Black,overall,D9-valid adult all-7 cohort,weighted_pct,11.303136719977267,,,,,,,,2043,20448729.1194695,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
race_ethnicity,Race/ethnicity,Non-Hispanic Asian,overall,D9-valid adult all-7 cohort,weighted_pct,4.718254461116235,,,,,,,,996,8535887.849748,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
race_ethnicity,Race/ethnicity,Other/multiracial,overall,D9-valid adult all-7 cohort,weighted_pct,2.6639830700384053,,,,,,,,247,4819464.6784895,8646,180911985.99171352,WTMEC4YR,RIDRETH3 used when available; RIDRETH1 fallback supported.
education,Education,<9th grade,overall,D9-valid adult all-7 cohort,weighted_pct,4.989739974241429,,,,,,,,737,9022598.2166125,8638,180823014.0887085,WTMEC4YR,DMDEDUC2 values 7/9 treated as missing/unknown.
education,Education,9th-11th grade,overall,D9-valid adult all-7 cohort,weighted_pct,10.645205297235172,,,,,,,,1170,19248981.0743915,8638,180823014.0887085,WTMEC4YR,DMDEDUC2 values 7/9 treated as missing/unknown.
education,Education,High school/GED,overall,D9-valid adult all-7 cohort,weighted_pct,21.318424354984614,,,,,,,,1903,38548617.4749045,8638,180823014.0887085,WTMEC4YR,DMDEDUC2 values 7/9 treated as missing/unknown.
education,Education,Some college/AA,overall,D9-valid adult all-7 cohort,weighted_pct,32.128495069119516,,,,,,,,2632,58095713.165323995,8638,180823014.0887085,WTMEC4YR,DMDEDUC2 values 7/9 treated as missing/unknown.
education,Education,College graduate or above,overall,D9-valid adult all-7 cohort,weighted_pct,30.918135304419263,,,,,,,,2196,55907104.15747601,8638,180823014.0887085,WTMEC4YR,DMDEDUC2 values 7/9 treated as missing/unknown.
age_group,Age group,20-39,overall,D9-valid adult all-7 cohort,weighted_pct,33.14053309899554,,,,,,,,2757,59955196.597634,8646,180911985.99171352,WTMEC4YR,
age_group,Age group,40-59,overall,D9-valid adult all-7 cohort,weighted_pct,38.351719513181955,,,,,,,,2949,69382857.433269,8646,180911985.99171352,WTMEC4YR,
age_group,Age group,60+,overall,D9-valid adult all-7 cohort,weighted_pct,28.507747387822487,,,,,,,,2940,51573931.9608105,8646,180911985.99171352,WTMEC4YR,
