analysis_weighting,baseline_960_observed_target_attainment_pct,delta_vs_960_observed_target_attainment_pct,n_source_directions_checked,observed_target_attainment_pct,target_algorithm,threshold_target_steps,wear_threshold
unweighted_primary,88.11010872079575,-0.844232626370399,6,87.26587609442535,acti,7000.0,600
WTMEC4YR_weighted_sensitivity,89.46378588203736,-0.8076446157637349,6,88.65614126627362,acti,7000.0,600
unweighted_primary,82.65093684941013,-1.347600930092824,6,81.3033359193173,acti,8000.0,600
WTMEC4YR_weighted_sensitivity,84.43691471024445,-1.411706997412253,6,83.0252077128322,acti,8000.0,600
unweighted_primary,66.06523247744622,-1.8737218933832624,6,64.19151058406295,acti,10000.0,600
WTMEC4YR_weighted_sensitivity,67.68682301987573,-1.827161472771678,6,65.85966154710405,acti,10000.0,600
unweighted_primary,1.4341892204487623,-0.0599234551822214,6,1.374265765266541,adept,7000.0,600
WTMEC4YR_weighted_sensitivity,1.257298010862412,-0.1021936632350433,6,1.1551043476273688,adept,7000.0,600
unweighted_primary,0.7864908628267407,-0.0550268264751946,6,0.7314640363515461,adept,8000.0,600
WTMEC4YR_weighted_sensitivity,0.636989421559268,-0.076366872697938,6,0.5606225488613299,adept,8000.0,600
unweighted_primary,0.1966227157066851,-0.0303808892631519,6,0.1662418264435332,adept,10000.0,600
WTMEC4YR_weighted_sensitivity,0.1567044574581063,-0.0194447351853486,6,0.1372597222727576,adept,10000.0,600
unweighted_primary,78.94980337728428,-0.6499031223801524,6,78.29990025490413,oak,7000.0,600
WTMEC4YR_weighted_sensitivity,81.39859010675782,-0.59807852565406,6,80.80051158110376,oak,7000.0,600
unweighted_primary,72.60004626416841,-0.8944051248577694,6,71.70564113931064,oak,8000.0,600
WTMEC4YR_weighted_sensitivity,75.17345254669901,-0.954925141825356,6,74.21852740487365,oak,8000.0,600
unweighted_primary,57.841776544066626,-1.5190457449975838,6,56.32273079906904,oak,10000.0,600
WTMEC4YR_weighted_sensitivity,60.1375871777248,-1.51915463082576,6,58.61843254689904,oak,10000.0,600
