analysis_weighting,attainment_difference_pp,baseline_960_attainment_difference_pp,baseline_960_cohen_kappa,baseline_960_discordant_reclassification_pct,baseline_960_mapped_source_attainment_pct,baseline_960_n_rows,baseline_960_negative_agreement,baseline_960_observed_target_attainment_pct,baseline_960_positive_agreement,baseline_960_target_threshold_degenerate,both_negative,both_positive,cohen_kappa,delta_vs_960_attainment_difference_pp,delta_vs_960_cohen_kappa,delta_vs_960_discordant_reclassification_pct,delta_vs_960_mapped_source_attainment_pct,delta_vs_960_negative_agreement,delta_vs_960_observed_target_attainment_pct,delta_vs_960_positive_agreement,denominator_measure,discordant_reclassification_pct,exposure,mapped_negative_target_positive,mapped_positive_target_negative,mapped_source_attainment_pct,measure_unit,method,n_rows,negative_agreement,note,observed_target_attainment_pct,positive_agreement,source_algorithm,target_algorithm,target_threshold_degenerate,threshold_target_steps,validation,wear_threshold
unweighted_primary,-1.3188518231186968,-1.3763590099467962,0.0144081199611455,1.468887346749942,0.0578302105019662,8646,0.9926003612422072,1.4341892204487623,0.0155038759689922,True,8896.0,2.0,0.0299743619955428,0.0575071868280994,0.0155662420343972,-0.0835387930538322,-0.0024162683541218,0.0004230243692233,-0.0599234551822214,0.0155038759689922,9023.0,1.38534855369611,daily_steps,122.0,3.0,0.0554139421478444,subjects,isotonic,9023,0.9930233856114304,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",1.374265765266541,0.0310077519379844,acti,adept,True,7000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,-1.1116362121529184,-1.2092065507620375,0.0035212888625819,1.2995877699303957,0.0480914601003744,8646,0.993459370807944,1.257298010862412,0.004444421501356,True,187089310.556355,15112.167997,0.0124907165551933,0.0975703386091191,0.0089694276926114,-0.1169779773956547,-0.0046233246259241,0.0005919304965487,-0.1021936632350433,0.0088736637977223,189343618.90303895,1.182609792534741,daily_steps,2172004.205907,67191.97278,0.0434681354744503,WTMEC4YR,isotonic,9023,0.9940513013044928,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",1.1551043476273688,0.0133180852990784,acti,adept,True,7000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,-0.7092984594924083,-0.7402266944251678,-0.0008746430684563,0.8327550312283136,0.0462641684015729,8646,0.9958188153310104,0.7864908628267407,0.0,True,8955.0,0.0,-0.0004304581770613,0.0309282349327594,0.0004441848913949,-0.0791254180176298,-0.0240985915424352,0.0003987839570082,-0.0550268264751946,0.0,9023.0,0.7536296132106838,daily_steps,66.0,2.0,0.0221655768591377,subjects,isotonic,9023,0.9962175992880188,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",0.7314640363515461,0.0,acti,adept,True,8000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,-0.5495578970743434,-0.612287020685427,-0.0004758304329222,0.6616918224331089,0.0247024008738409,8646,0.9966805586518588,0.636989421559268,0.0,True,188261165.668526,0.0,-0.0002170571495883,0.0627291236110835,0.0002587732833339,-0.0900046217847924,-0.0136377490868544,0.0004528112662655,-0.076366872697938,0.0,189343618.90303895,0.5716872006483165,daily_steps,1061503.0224005,20950.2121125,0.0110646517869864,WTMEC4YR,isotonic,9023,0.9971333699181244,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",0.5606225488613299,0.0,acti,adept,True,8000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,-0.1440762495843954,-0.1850566736062919,-0.000218517423545,0.2081887578070784,0.0115660421003932,8646,0.998957971517888,0.1966227157066851,0.0,True,9006.0,0.0,-0.0003913103025948,0.0409804240218965,-0.0001727928790497,-0.0197813545044074,0.0105995347587445,9.910319507433484e-05,-0.0303808892631519,0.0,9023.0,0.1884074033026709,daily_steps,15.0,2.0,0.0221655768591377,subjects,isotonic,9023,0.9990570747129623,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",0.1662418264435332,0.0,acti,adept,True,10000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,-0.1261950704857712,-0.148024974035864,-0.0001645065997972,0.1653839408803485,0.0086794834222422,8646,0.9991723959334882,0.1567044574581063,0.0,True,189062776.165479,0.0,-0.0002048270376583,0.0218299035500928,-4.032043786108519e-05,-0.0170595668206043,0.0023851683647442,8.543178501774218e-05,-0.0194447351853486,0.0,189343618.90303895,0.1483243740597441,daily_steps,259892.5254475,20950.2121125,0.0110646517869864,WTMEC4YR,isotonic,9023,0.999257827718506,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",0.1372597222727576,0.0,acti,adept,True,10000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,1.0196165355203402,1.2375665047420823,0.8218236042798406,5.794587092297016,80.18736988202637,8646,0.858194169261251,78.94980337728428,0.9635874700196236,False,1642.0,6841.0,0.8208451497196573,-0.2179499692217423,-0.0009784545601833,0.190118659670178,-0.8678530916019014,0.00059244161741,-0.6499031223801524,-0.0015568132906121,9023.0,5.984705751967194,daily_steps,224.0,316.0,79.31951679042447,subjects,isotonic,9023,0.858786610878661,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",78.29990025490413,0.9620306567290112,acti,oak,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,0.3517499979334149,0.7635474858184721,0.8248627989052746,5.219628802526397,82.16213759257629,8646,0.8567581492995123,81.39859010675782,0.9680875178537884,False,30709193.4292925,148012816.14149398,0.8179253310673372,-0.4117974878850572,-0.0069374678379373,0.3900713784402105,-1.0098760135391132,-0.0041985975765407,-0.59807852565406,-0.0027253945107053,189343618.90303895,5.609700180966607,daily_steps,4977796.578337001,5643812.7539155,81.15226157903717,WTMEC4YR,isotonic,9023,0.8525595517229716,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",80.80051158110376,0.965362123343083,acti,oak,False,7000.0,whole_cohort_subject_grouped_5fold_oof,600
unweighted_primary,1.196941150393438,1.191302336340505,0.812273488404181,7.367568817950497,73.79134860050891,8646,0.8625674217907228,72.60004626416841,0.9496721181954648,False,2150.0,6175.0,0.8068838894588085,0.0056388140529328,-0.0053895989453724,0.3682175058885804,-0.8887663108048258,-0.0022232841356607,-0.8944051248577694,-0.0031669066687941,9023.0,7.735786323839077,daily_steps,295.0,403.0,72.90258228970409,subjects,isotonic,9023,0.860344137655062,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",71.70564113931064,0.9465052115266708,acti,oak,False,8000.0,whole_cohort_subject_grouped_5fold_oof,600
WTMEC4YR_weighted_sensitivity,0.5051736432690745,0.4484029859689098,0.8051778382230038,7.227938967167407,75.62185553266791,8646,0.8531046799596665,75.17345254669901,0.9520678789066622,False,41262651.5337065,133931638.0584405,0.8034735996882523,0.0567706573001647,-0.0017042385347515,0.2448923819248145,-0.898154484525179,0.0005350085211422,-0.954925141825356,-0.0022405628171188,189343618.90303895,7.472831349092221,daily_steps,6596407.626491001,7552921.684401,74.72370104814273,WTMEC4YR,isotonic,9023,0.8536396884808088,"Mapped source is the grouped five-fold OOF isotonic prediction on the target algorithm scale. Positive/negative agreement are symmetric: 2a/(2a+b+c) and 2d/(2d+b+c). Cohen kappa uses the observed agreement minus agreement expected from the mapped/target marginals, divided by one minus expected agreement; every cell and marginal is WTMEC4YR-weighted in the weighted sensitivity. Attainment difference is mapped minus observed target percentage points. WTMEC4YR changes evaluation weights only; the D7 headline crosswalk fit remains unweighted.",74.21852740487365,0.9498273160895434,acti,oak,False,8000.0,whole_cohort_subject_grouped_5fold_oof,600
